,tweet,id,time,user,location,favourites,retweet-count,hashtags
0,"Residents are reminded to seek shelter as soon as thunder is heard to avoid being struck by lightning.
https://t.co/UdLZoVZLBy",1100539774778163200,2019-02-26 23:35:04,8510242,"State College, PA",1,0,[]
1,"As Pola tracks southward in the coming days, it will travel between Fiji and Tonga, sparing the islands from the cy… https://t.co/ueMPkWEG2z",1100523432926687232,2019-02-26 22:30:07,8510242,"State College, PA",2,0,[]
2,"""Science itself loses its ability to be as productive if we're not including everybody in it."" https://t.co/YFs7IWoTJI",1100519643402391552,2019-02-26 22:15:04,8510242,"State College, PA",5,2,[]
3,RT @TravisABC13: SEVERE T-STORM WARNING: Quarter-size hail could ding up car hoods in this storm moving from El Campo to Wharton. Eventuall…,1100515916666810368,2019-02-26 22:00:15,8510242,"State College, PA",0,12,[]
4,Here's the weather forecast for the Trump-Kim summit in Hanoi https://t.co/ckXhozfBav #TrumpKimSummit,1100512441409196035,2019-02-26 21:46:27,8510242,"State College, PA",4,0,[TrumpKimSummit]
5,"This coyote is risking it all on this frozen lake.
https://t.co/s1u1uFDeUF",1100510831291351040,2019-02-26 21:40:03,8510242,"State College, PA",3,0,[]
6,RT @TravisABC13: Friendly heads up: Prepare for a stormy commute home and rodeo this evening. These strong thunderstorms are currently not…,1100510106897313798,2019-02-26 21:37:10,8510242,"State College, PA",0,12,[]
7,On this week's #podcast. @accuElliot joins us as he reflects on his long career at AccuWeather and how he made each… https://t.co/cFFz4gGUbW,1100508302272806913,2019-02-26 21:30:00,8510242,"State College, PA",4,1,[podcast]
8,"These rough waters overflowed onto the road due to the extreme wind. 
https://t.co/lqLttblt6R",1100503283804921856,2019-02-26 21:10:03,8510242,"State College, PA",0,0,[]
9,RT @monicabielanko: #BlackHistoryMonth is more than just remembering the accomplishments of men and women. It's understanding how and why d…,1100498037452013569,2019-02-26 20:49:13,8510242,"State College, PA",0,2,[BlackHistoryMonth]
10,RT @StanFinger: I chatted with Paul Pastelok about this just yesterday. @ReedTimmerAccu https://t.co/GVZYcVv2Im,1100497599960965120,2019-02-26 20:47:28,8510242,"State College, PA",0,1,[]
11,"Northern California, brace yourselves for more atmospheric rain.
https://t.co/9xMHlGbfUI",1100495734816849924,2019-02-26 20:40:04,8510242,"State College, PA",8,3,[]
12,Atmospheric rivers are responsible for as much as 20 to 50% of California's rainfall in any given year. But what ar… https://t.co/L8QlSx1LCW,1100485845851783168,2019-02-26 20:00:46,8510242,"State College, PA",10,3,[]
13,"These 'Ice Tsunamis' built up off of Fort Erie.
https://t.co/UjnkO3TLBv",1100478149673041920,2019-02-26 19:30:11,8510242,"State College, PA",16,4,[]
14,Artist transforms the devastation from the #CampFire into beautiful murals: https://t.co/MCdFLKMhK7 https://t.co/GPTh0JAzXo,1100470554316857344,2019-02-26 19:00:00,8510242,"State College, PA",4,0,[CampFire]
15,"@CphilpottCraig Hi Craig, did you record this today? Can we share this on our syndicated news coverage with credit to you?",1100470258979225603,2019-02-26 18:58:50,8510242,"State College, PA",0,0,[]
16,"WOW: Massive pileup injured a dozen people and affected more than 70 vehicles.
https://t.co/r6OmGMbygs",1100465536419483649,2019-02-26 18:40:04,8510242,"State College, PA",5,3,[]
17,"This aerial view of Knoxville, TN gives a look at the extreme #flooding that has occurred over the past week.
(Inst… https://t.co/ww9vdHJhx1",1100455490411286529,2019-02-26 18:00:09,8510242,"State College, PA",14,6,[flooding]
18,A fast-moving storm with a swath of accumulating snow will streak across the northern tier of the United States lat… https://t.co/4JHuricFM9,1100449179422330880,2019-02-26 17:35:04,8510242,"State College, PA",10,7,[]
19,"Cooking spray and socks? Thats right, these random items might help make your shoveling easier.
https://t.co/V4iUTDT89h",1100436604240515072,2019-02-26 16:45:06,8510242,"State College, PA",6,2,[]
20,“But that’s who she is; she was a working mom and the weather doesn’t shut down. She had important responsibilities… https://t.co/QsGMSBs60X,1100425261198295041,2019-02-26 16:00:01,8510242,"State College, PA",5,1,[]
21,"Will the traditional ""Tornado Alley"" come back this Spring? Our forecast is out: https://t.co/CFaN6RyyJQ",1100418612555329537,2019-02-26 15:33:36,8510242,"State College, PA",46,19,[]
22,"Passengers were kept on board because the train has power and nearby towns do not.
 https://t.co/1MAc4aLG19",1100413152913575936,2019-02-26 15:11:54,8510242,"State College, PA",11,5,[]
23,"We'll miss you, @accuElliot! On this week's #podcast, Elliot takes a look back at his career at AccuWeather approac… https://t.co/wPHZOyrjBk",1100410156737839104,2019-02-26 15:00:00,8510242,"State College, PA",13,3,[podcast]
24,"Have you seen these photos of an ""ice shove"" in Ontario? https://t.co/tTRz2EQ9Q4 https://t.co/3WFz3tfPDB",1100407578998140929,2019-02-26 14:49:46,8510242,"State College, PA",10,4,[]
25,Improper shoveling technique can lead to injury -- and even death in some cases! Follow these hacks to make getting… https://t.co/SA7h91Uvfs,1100379958835322880,2019-02-26 13:00:00,8510242,"State College, PA",6,2,[]
26,"Firenado? Yep, you heard that right. Australian fires caused this weather phenomenon. 
https://t.co/niMdDnPwTf https://t.co/jdFYAYGF2S",1100366128122085376,2019-02-26 12:05:03,8510242,"State College, PA",30,10,[]
27,What do you think the world's largest desert is? https://t.co/YvpeqKXLbJ,1100349757040386050,2019-02-26 11:00:00,8510242,"State College, PA",4,1,[]
28,"After a foot of snow, wind gusts of over 50 MPH created blizzard conditions across interstates and highways around… https://t.co/O8X0J7lXSb",1100334661929234435,2019-02-26 10:00:01,8510242,"State College, PA",20,9,[]
29,#ICYMI: Wind cut power to hundreds of thousands of people from the Midwest to the Northeast Sunday into Monday.… https://t.co/iABIgceabN,1100259161277849600,2019-02-26 05:00:00,8510242,"State College, PA",12,6,[ICYMI]
30,Snow and powerful winds lead to blizzard conditions across several Midwest states last weekend:… https://t.co/UbVMKuqX6h,1100244062278320128,2019-02-26 04:00:00,8510242,"State College, PA",14,4,[]
31,The world's largest desert may surprise you! https://t.co/YvpeqKXLbJ https://t.co/9GKivXeLYH,1100228962343542784,2019-02-26 03:00:00,8510242,"State College, PA",26,7,[]
32,"In Columbus, Mississippi, a woman was killed after a building collapsed on her and 3 other people, as an EF-3 torna… https://t.co/3onExOBZ4D",1100221411870863361,2019-02-26 02:30:00,8510242,"State College, PA",19,10,[]
33,"WOW! Wind gusts were so strong in Fort Erie, Canada large pieces of ice were pushed over a wall!… https://t.co/6Ws2dE5wkf",1100213861544673283,2019-02-26 02:00:00,8510242,"State College, PA",29,13,[]
34,"Victoria Tsuranova, a fitness blogger, is one of a new generation of Russian “Walruses,” hardy swimmers who plunge… https://t.co/v7cjF0nhzW",1100206312212721665,2019-02-26 01:30:00,8510242,"State College, PA",17,3,[]
35,"Laura Perrot from WCAV got to experience firsthand one of the many ""occupational hazards"" of being a field reporter… https://t.co/TDKZUwzrGf",1100198764151590913,2019-02-26 01:00:00,8510242,"State College, PA",3,0,[]
36,"Strong wind gusts whipped through the Midwest this weekend, causing blizzard like conditions.… https://t.co/WsKtHEzwcn",1100191213423128576,2019-02-26 00:30:00,8510242,"State College, PA",22,10,[]
37,"With winter weather still clinging onto the united sates, these shoveling hacks will come in handy! https://t.co/5SInwsHM1b",1100183662866268161,2019-02-26 00:00:00,8510242,"State College, PA",4,2,[]
38,"Strong winds in State College, Pennsylvania sent this trampoline airborne!  https://t.co/7sUgcmmsI8 https://t.co/FKVwH3YGuE",1100176113362456577,2019-02-25 23:30:00,8510242,"State College, PA",2,1,[]
39,"Of the tens of thousands who lost their homes in the California Camp wildfire last November, many are still searchi… https://t.co/6huqfYAfeQ",1100168568929320961,2019-02-25 23:00:01,8510242,"State College, PA",4,5,[]
40,"@christine_chess Did you record this video? If so, may we use it for our syndicated news coverage with credit to you?",1100166215564025856,2019-02-25 22:50:40,8510242,"State College, PA",3,0,[]
41,"We'll miss you, @accuElliot! On this week's #podcast, we take a look back on Elliot's 50-year career in meteorology… https://t.co/LjmfVLs3ob",1100161014664814593,2019-02-25 22:30:00,8510242,"State College, PA",10,1,[podcast]
42,"""She was an important trailblazer in many ways..."" The untold story of June Bacon-Bercey, the first American woman… https://t.co/EcBE7Yr20J",1100153465941065728,2019-02-25 22:00:00,8510242,"State College, PA",18,10,[]
43,"Check out this firenado!
 https://t.co/c9h3vsWhVm https://t.co/Wk417f77ra",1100147229686464514,2019-02-25 21:35:13,8510242,"State College, PA",29,9,[]
44,"The Atmospheric River is still flowing over the West Coast, bringing rain and mountain snow with it!… https://t.co/RhEytuFTeN",1100142321444835328,2019-02-25 21:15:43,8510242,"State College, PA",17,5,[]
45,"RT @breakingweather: AccuWeather RealFeel® Temperatures will drop into the single digits from NYC through Boston, and below 0F across inter…",1100141068144791553,2019-02-25 21:10:44,8510242,"State College, PA",0,16,[]
46,"WOW: Wildfires scorched nearly 4,000 acres of land in France.
https://t.co/XeXUG9JGV2 https://t.co/JQLDv8PEay",1100133348293386241,2019-02-25 20:40:04,8510242,"State College, PA",9,4,[]
47,RT @Brittany_Boyer: WINDY! Take a look at the current wind gusts (as of 3:15 ET Monday) numerous power outages and flight delays due to the…,1100127281077473282,2019-02-25 20:15:57,8510242,"State College, PA",0,2,[]
48,"Being prepared for a power outage could save lives.
https://t.co/Z9H7NfiCiE",1100125802975375360,2019-02-25 20:10:05,8510242,"State College, PA",8,3,[]
49,"Over 70 vehicles involved in multi-car pileup in Barrie, Ontario, as whiteout conditions blind drivers:… https://t.co/VMI7SizrTe",1100119338256871424,2019-02-25 19:44:24,8510242,"State College, PA",16,3,[]
50,"Wind gusts of up to 59 mph created this awesome sight.
https://t.co/RDpcqyCtZC https://t.co/Fan4fb6PQR",1100118332739592197,2019-02-25 19:40:24,8510242,"State College, PA",33,11,[]
51,@NickRodick Wow! Crazy conditions. Did you record this today? Can we share this on our syndicated news coverage with credit to you?,1100117580818382848,2019-02-25 19:37:25,8510242,"State College, PA",1,0,[]
52,"@amycrehore Looks beautiful! Amy, did you record this video? Can we share it on our syndicated news coverage with credit to you?",1100113898974470144,2019-02-25 19:22:47,8510242,"State College, PA",0,0,[]
53,"@jillremensnyder Hi Jill, we hope it was a safe drive. Can we share your video on our syndicated news coverage with credit to you?",1100113794607599616,2019-02-25 19:22:22,8510242,"State College, PA",0,0,[]
54,"@wik3dlee Great video, Kiana! Did you record this? Can we share this on our syndicated news coverage with credit to you?",1100113650717786113,2019-02-25 19:21:48,8510242,"State College, PA",0,0,[]
55,"Do not underestimate the power of the wind.
https://t.co/EQbAXjiS6S",1100110704483491840,2019-02-25 19:10:05,8510242,"State College, PA",4,0,[]
56,"Strong winds threaten to knock down more trees, cut power and cause more travel issues. 
https://t.co/sAjNXEypfF",1100104414881349632,2019-02-25 18:45:06,8510242,"State College, PA",12,6,[]
57,"Over 100 vehicles involved in this crazy pileup!
https://t.co/YoqJxFjl2K https://t.co/KVLZ2vGW8z",1100100684811300864,2019-02-25 18:30:16,8510242,"State College, PA",9,3,[]
58,"This shelf #cloud was spotted in Tuscaloosa, Alabama on Saturday while storms hit the area.
(Twitter/Rivals_Kyle)… https://t.co/vACFoAZDct",1100095602225045506,2019-02-25 18:10:05,8510242,"State College, PA",16,1,[cloud]
59,"A brief break in rain expected for Mississippi, Tennessee and Kentucky but it's not all good news.
https://t.co/YSCfkYoZa1",1100083019921145860,2019-02-25 17:20:05,8510242,"State College, PA",8,5,[]
60,"Wind gusts so strong it pushed ice over a wall!
https://t.co/5dj39Jxmdm https://t.co/QiVU3NCCAi",1100074310646026240,2019-02-25 16:45:28,8510242,"State College, PA",45,11,[]
61,@NiagParksPolice @NiagaraParks @NiagRegPolice Wow! May we use this video in our syndicated news coverage with credit to you?,1100070818212646912,2019-02-25 16:31:36,8510242,"State College, PA",0,0,[]
62,"RT @AccuRayno: Wind, wind and more wind.Please be careful when shooting, but if you have any video of the wind where you live please send i…",1100069258325827584,2019-02-25 16:25:24,8510242,"State College, PA",0,3,[]
63,"Wintry conditions expected to continue into March.
https://t.co/w1x5prin8V",1100065405891198982,2019-02-25 16:10:05,8510242,"State College, PA",4,3,[]
64,"Nebraska Trooper: ""I've never seen anything like this.""
https://t.co/E8gFdNZJXL",1100052820223541249,2019-02-25 15:20:04,8510242,"State College, PA",7,5,[]
65,"A firenado rips through the sky in Western Australia. 
https://t.co/oVEAIh4ygA https://t.co/T8DJvbRWVF",1100043485254688768,2019-02-25 14:42:59,8510242,"State College, PA",24,14,[]
