,tweet,id,time,user,location,favourites,retweet-count,hashtags
0,Snow will spread across the Midwest through Tuesday night before advancing into the Northeast on Wednesday:… https://t.co/Eph1fPjmVn,1100526745999028226,2019-02-26 22:43:17,19071682,"State College, PA",11,9,[]
1,RT @jnmet: #Pola has strengthened to a category 2 cyclone (Fiji scale) as it passing between the islands of Vanua Levu in #Fiji &amp; Vavaʻu in…,1100523714549026817,2019-02-26 22:31:14,19071682,"State College, PA",0,7,"[Pola, Fiji]"
2,"RT @CaltransDist3: Traffic on Interstate 80 is now CLOSED from the Nevada state line to Colfax due to traction control issues, multiple spi…",1100509180656533506,2019-02-26 21:33:29,19071682,"State College, PA",0,56,[]
3,Another storm will slam California later this week. The heaviest rain and mountain snow is likely to miss Southern… https://t.co/WwuCx6SUji,1100482705781854208,2019-02-26 19:48:17,19071682,"State College, PA",16,10,[]
4,"Friday marks the start of meteorological spring, but chilly air will maintain its grip from the northern Plains thr… https://t.co/9twA8qaENp",1100461637696475137,2019-02-26 18:24:34,19071682,"State College, PA",18,12,[]
5,Rounds of rain will repeatedly drench the southeastern US into the first week of March. Flooding will be possible f… https://t.co/u1TZtiBLSY,1100444623078649856,2019-02-26 17:16:58,19071682,"State College, PA",11,8,[]
6,AccuWeather projects a higher frequency of severe weather risks in the traditional Tornado Alley this season. The s… https://t.co/lrLj8XSeAP,1100421496391036929,2019-02-26 15:45:04,19071682,"State College, PA",198,126,[]
7,RT @Accu_Kevin: Nearly 200 people have faced a nightmarish ordeal as their Amtrak train has been stranded since Sunday night in Oregon. Sno…,1100412323020267521,2019-02-26 15:08:37,19071682,"State College, PA",0,28,[]
8,"Snow and slippery travel will affect the cities of Minneapolis, Chicago and Milwaukee today: https://t.co/peTnj7vE33 https://t.co/KwidPgT6QV",1100401257460711424,2019-02-26 14:24:38,19071682,"State College, PA",18,6,[]
9,"Mild weather will linger in the U.K. this week, one day after the country experienced its warmest February day on r… https://t.co/smtoJhpNlO",1100365087519457280,2019-02-26 12:00:55,19071682,"State College, PA",14,3,[]
10,Torrential rainfall will continue to batter Northern California into Wednesday and elevate the risk for flooding an… https://t.co/NmJHMInxZX,1100320391107674112,2019-02-26 09:03:18,19071682,"State College, PA",21,16,[]
11,"The current temperature of 20 degrees F in Portland, Maine, is 18 degrees lower than the temperature 24 hours ago (… https://t.co/UMHnMc6y7U",1100295825035542530,2019-02-26 07:25:41,19071682,"State College, PA",10,10,[]
12,A storm system will spread a swath of accumulating snow across the Great Lakes and parts of the Northeast spanning… https://t.co/OuCGggmMab,1100263216846913536,2019-02-26 05:16:07,19071682,"State College, PA",30,22,[]
13,"Although the howling biting winds ripping through the Northeast early this week will subside by midweek, a persiste… https://t.co/uDZ5cyTEaY",1100217649219416067,2019-02-26 02:15:03,19071682,"State College, PA",30,18,[]
14,Northern California will remain in the swath of a brief atmospheric river with heavy rain and the risk of flooding… https://t.co/uyN40cjpAX,1100198856736849920,2019-02-26 01:00:22,19071682,"State College, PA",13,6,[]
15,A fast-moving storm with a swath of accumulating snow will streak across the northern tier of the United States and… https://t.co/5FY9ZuB5MO,1100182236110962688,2019-02-25 23:54:20,19071682,"State College, PA",8,6,[]
16,"A 162mph wind gust was just recorded on Mount Washington, NH. For comparison, Category 5 hurricanes have winds of a… https://t.co/WoHOWU2nxS",1100164270703210499,2019-02-25 22:42:56,19071682,"State College, PA",73,39,[]
17,Rain and mountain snow has spread over northern California and may lead to delays during the Monday evening commute… https://t.co/QpoZm3tnom,1100152486554419201,2019-02-25 21:56:07,19071682,"State College, PA",15,5,[]
18,The northeastern and midwestern US will face more waves of chilly air and the potential for snow heading into the f… https://t.co/Dgt7n4E2zw,1100141915058651137,2019-02-25 21:14:06,19071682,"State College, PA",27,12,[]
19,"Over 70 vehicles were involved in a major pileup in Barrie, Ontario, earlier today amid blinding whiteout condition… https://t.co/xTH3GOVzGK",1100121345025810433,2019-02-25 19:52:22,19071682,"State College, PA",24,31,[]
20,An atmospheric river will unload flooding rain and heavy mountain snow across Northern California into Wednesday:… https://t.co/xzw5EbrZlS,1100108413344927750,2019-02-25 19:00:59,19071682,"State College, PA",41,24,[]
21,"AccuWeather RealFeel® Temperatures will drop into the single digits from NYC through Boston, and below 0F across in… https://t.co/LKrDpJcFau",1100088058345598977,2019-02-25 17:40:06,19071682,"State College, PA",21,16,[]
22,"RT @jpetramala: The piles of snow just keep getting higher around downtown #Rochester #Minnesota Unfortunately it’s so cold, no melting 🥶@a…",1100074801102761985,2019-02-25 16:47:25,19071682,"State College, PA",0,11,"[Rochester, Minnesota]"
23,"Power outages have climbed over 555,000 as powerful winds whip across the Northeast and Great Lakes:… https://t.co/25e1wlX46q",1100064110165798918,2019-02-25 16:04:56,19071682,"State College, PA",295,170,[]
24,"Travel is extremely difficult in Eugene, Oregon, due to snow-covered roads. Between 4-8 inches of snow has accumula… https://t.co/FomrEo8VyF",1100055171680428032,2019-02-25 15:29:25,19071682,"State College, PA",16,7,[]
25,"More snow will streak across the interior Northwest early this week, bringing another round of slippery travel to s… https://t.co/RU3dUQsWt8",1100038223793917952,2019-02-25 14:22:04,19071682,"State College, PA",17,12,[]
26,RT @NWSBoston: [8 am] some #snow #squalls this morning will be accompanied by brief visibility near zero &amp; white conditions. These squalls…,1100024954173775872,2019-02-25 13:29:21,19071682,"State College, PA",0,12,"[snow, squalls]"
27,"Over 545,000 customers are without power across Ohio, Pennsylvania, New York, West Virginia and Michigan, according… https://t.co/uPQ5sXlFBC",1100007916701138946,2019-02-25 12:21:39,19071682,"State College, PA",16,27,[]
28,A snowstorm will target the I-5 corridor in western Oregon and southwestern Washington while heavy rainfall increas… https://t.co/tPaBY9LeBM,1099961762496069632,2019-02-25 09:18:15,19071682,"State College, PA",12,15,[]
29,Areas in the Deep South and Southeast inundated by recent severe weather and torrential rainfall will face addition… https://t.co/0PNCDAMlxM,1099933804137979905,2019-02-25 07:27:09,19071682,"State College, PA",13,11,[]
30,"A wind gust of 62 mph was just reported at the Altoona-Blair County Airport in Altoona, Pennsylvania. Wind gusts of… https://t.co/bZzI95m3fK",1099899748188860416,2019-02-25 05:11:49,19071682,"State College, PA",21,15,[]
31,Flooding will remain a significant concern in Northern California early this week as a snowstorm unfolds in the low… https://t.co/V6odjxx6GY,1099870363981414400,2019-02-25 03:15:04,19071682,"State College, PA",14,7,[]
32,"On Monday, the combination of wind, dry air and temperatures will send AccuWeather RealFeel® Temperatures down into… https://t.co/rfS6ZY1OUl",1099851508739387392,2019-02-25 02:00:08,19071682,"State College, PA",32,26,[]
33,"After a dry weekend, a new storm is expected to return downpours and thunderstorms to northern India to close out F… https://t.co/Wkgu1aTthU",1099832612435169281,2019-02-25 00:45:03,19071682,"State College, PA",9,8,[]
34,The areas hit by severe weather and record rain from the lower Mississippi to lower Ohio River valleys will welcome… https://t.co/ofBCbKbYPW,1099813746736852992,2019-02-24 23:30:05,19071682,"State College, PA",22,16,[]
35,"A powerful storm will continue to sweep strong winds from the Midwest to the Northeast through Monday, threatening… https://t.co/EgtQftjXYO",1099796122233638912,2019-02-24 22:20:03,19071682,"State College, PA",26,10,[]
