,tweet,id,time,user,location,favourites,retweet-count,hashtags
0,California’s ‘Big One’ Could Be A Volcanic Eruption #weather https://t.co/HxHmEPepBB,1100510600617111553,2019-02-26 21:39:08,82960432,,0,0,[weather]
1,Another storm rolls towards LA #weather https://t.co/auwuvmWHOW,1100506818038493184,2019-02-26 21:24:06,82960432,,0,0,[weather]
2,Photo captures 'dragon aurora' dancing over Iceland #weather https://t.co/IYVZaTA97S,1100495498551668737,2019-02-26 20:39:07,82960432,,1,2,[weather]
3,Early-Season Super Typhoon Just Misses Direct Hit On Guam #weather https://t.co/MDChueq3cj,1100484165080764416,2019-02-26 19:54:05,82960432,,0,0,[weather]
4,We’re on track for a cloud-cover tipping point that could add 8°C of warming #weather https://t.co/byTdVoMrfF,1100472854628380672,2019-02-26 19:09:08,82960432,,0,1,[weather]
5,Rounds of rain to douse southern US into the weekend as rivers keep rising #weather https://t.co/RjPyBVuB6S,1100442651403272192,2019-02-26 17:09:07,82960432,,0,0,[weather]
6,Mysterious Sight Over Pittsburgh: Weather Perfect For Optical Illusion #weather https://t.co/Q0Pjkj5HMA,1100423775227600901,2019-02-26 15:54:07,82960432,,0,0,[weather]
7,Upper Peninsula city hammered with 200+ inches of snow this winter #weather https://t.co/lkWPkGv2T7,1100382264137928705,2019-02-26 13:09:10,82960432,,0,0,[weather]
8,Powerful winds gusting up to 65 mph lashing the Northeast #weather https://t.co/6yaAa1z3aR,1100321861840166912,2019-02-26 09:09:09,82960432,,0,0,[weather]
9,Deadly tornadoes tear through the South #weather https://t.co/dkX2fU5QNP,1100314309647712256,2019-02-26 08:39:08,82960432,,0,0,[weather]
10,Amtrak train with 183 passengers stranded in Oregon for more than 24 hours #weather https://t.co/0nM8DZ0LTv,1100310527945789440,2019-02-26 08:24:07,82960432,,0,0,[weather]
11,Winter isn't over yet: Accumulating snow to create more slick travel #weather https://t.co/piAScPSOq8,1100306758449262592,2019-02-26 08:09:08,82960432,,0,0,[weather]
12,Fierce winter storm that hit West reaches California #weather https://t.co/A8g3xnBNOL,1100302981512085504,2019-02-26 07:54:08,82960432,,0,0,[weather]
13,"From socks to cooking spray, clever hacks for shoveling snow #weather https://t.co/qnvKaYORPW",1100185964620800001,2019-02-26 00:09:09,82960432,,0,0,[weather]
14,Rivers rising in the South as 2 missing people sought #weather https://t.co/eGbp4SwzSU,1100182172508446720,2019-02-25 23:54:04,82960432,,0,0,[weather]
15,"Drenching rain, mountain snow to continue over N. California #weather https://t.co/538QnlfHiv",1100178406832889856,2019-02-25 23:39:07,82960432,,0,0,[weather]
16,"High winds cut power, inundate Lake Erie shoreline with ice #weather https://t.co/2n4aiTv4y6",1100174626930475009,2019-02-25 23:24:05,82960432,,0,1,[weather]
17,"Humans are frogs in hot water of climate change, research says #weather https://t.co/X8JWVZSBm6",1100136895013474306,2019-02-25 20:54:09,82960432,,2,3,[weather]
18,Evidence for man-made global warming hits 'gold standard': scientists #weather https://t.co/zcsRzcwHxc,1100133112179093505,2019-02-25 20:39:08,82960432,,0,0,[weather]
19,Upper Midwest suffers dangerous cold after weekend blizzard #weather https://t.co/3CigkmZQnT,1100087811355471872,2019-02-25 17:39:07,82960432,,0,0,[weather]
20,Severe weather slams South #weather https://t.co/tr60vuiK8J,1100068934970073091,2019-02-25 16:24:07,82960432,,0,0,[weather]
21,Atmospheric river poised to slam Bay Area Tuesday: Here's what you need to know #weather https://t.co/vWBQybLiui,1100061387387224067,2019-02-25 15:54:07,82960432,,0,0,[weather]
22,"'Bomb cyclone' strikes: 600,000 powerless from fierce winds #weather https://t.co/rVavXXVwMq",1100053843017007104,2019-02-25 15:24:08,82960432,,0,0,[weather]
23,'Ice tsunami' spawned by windstorm spurs evacuations along Lake Erie #weather https://t.co/dKwyHfCPsZ,1100046332360704000,2019-02-25 14:54:18,82960432,,0,0,[weather]
24,"Windstorm rips roof off Buffalo University bookstore, closes schools, causes ice tsunami on Niagara River #weather https://t.co/hmdSOrTX7Y",1100042516278108160,2019-02-25 14:39:08,82960432,,0,0,[weather]
25,Weather forecast for extreme winds in the Northeast Monday #weather https://t.co/y7UYQuHowv,1100016115084800002,2019-02-25 12:54:13,82960432,,0,0,[weather]
26,"Rain to reign the West, as blistering winds pummel the East #weather https://t.co/0mcjHkrYrc",1100004769005953024,2019-02-25 12:09:08,82960432,,0,0,[weather]
27,America’s Windiest Cities #weather https://t.co/GyKsplYYDC,1099967011264749568,2019-02-25 09:39:06,82960432,,0,0,[weather]
28,Portland Forecast Says Snow Overnight Will Bring Messy AM Commute #weather https://t.co/7xJ0MbqlN6,1099955690066436098,2019-02-25 08:54:07,82960432,,2,0,[weather]
29,"Windstorm causes closures, thousands of power outages across New York state #weather https://t.co/9Q9zVPIlP9",1099940589779337216,2019-02-25 07:54:07,82960432,,0,0,[weather]
30,Iceberg twice the size of NYC is about to break off from Antarctica #weather https://t.co/yFpZab1vii,1099876423655772160,2019-02-25 03:39:08,82960432,,0,0,[weather]
31,Drivers rescued in Minnesota snow; Wisconsin pileup kills 1 #weather https://t.co/i55U8y1mzI,1099853811214995456,2019-02-25 02:09:17,82960432,,0,0,[weather]
32,Why do more homeless people freeze to death in LA than NY? #weather https://t.co/Kz6XCk85rE,1099774496825724929,2019-02-24 20:54:07,82960432,,0,0,[weather]
33,WH to tap federal scientists to reassess govt. climate findings: sources #weather https://t.co/VMA8vL2LDL,1099770724514856960,2019-02-24 20:39:08,82960432,,1,1,[weather]
34,Florida's toxic 'red tide' algae bloom not showing up in tests #weather https://t.co/ILaxigFSc1,1099766938299817985,2019-02-24 20:24:05,82960432,,0,0,[weather]
35,Scientists measure thickness of Kilauea lava flows in Hawaii #weather https://t.co/kHfS9iAn0i,1099763173710655488,2019-02-24 20:09:07,82960432,,0,0,[weather]
36,"Power outages mounting as strong winds lash Midwest, aim at Northeast #weather https://t.co/6JCFp8Ynp7",1099717873428193282,2019-02-24 17:09:07,82960432,,0,0,[weather]
37,Death confirmed as tornado hits Mississippi city #weather https://t.co/E3Ktkw6mIG,1099714093231947777,2019-02-24 16:54:06,82960432,,0,0,[weather]
38,"Rivers to keep rising from Mississippi to Tennessee, Kentucky despite break in rain #weather https://t.co/dITSdFa7hy",1099710322980442112,2019-02-24 16:39:07,82960432,,0,0,[weather]
39,Nearly an inch of rain could fall on parts of Mass. on Sunday #weather https://t.co/qWTiUB4xkv,1099634826196348928,2019-02-24 11:39:07,82960432,,0,0,[weather]
